tzid,merged
Pacific/Midway,Pacific/Midway
Pacific/Pago_Pago,Pacific/Pago_Pago
US/Samoa,Pacific/Pago_Pago
Pacific/Samoa,Pacific/Pago_Pago
Pacific/Midway,Pacific/Pago_Pago
Pacific/Niue,Pacific/Niue
Pacific/Rarotonga,Pacific/Rarotonga
America/Adak,America/Adak
US/Aleutian,America/Adak
America/Atka,America/Adak
Pacific/Honolulu,Pacific/Honolulu
US/Hawaii,Pacific/Honolulu
Pacific/Johnston,Pacific/Honolulu
HST,Pacific/Honolulu
Pacific/Tahiti,Pacific/Tahiti
Pacific/Marquesas,Pacific/Marquesas
America/Anchorage,America/Anchorage
America/Juneau,America/Anchorage
America/Metlakatla,America/Anchorage
America/Nome,America/Anchorage
America/Sitka,America/Anchorage
America/Yakutat,America/Anchorage
US/Alaska,America/Anchorage
Pacific/Gambier,Pacific/Gambier
America/Los_Angeles,America/Los_Angeles
US/Pacific,America/Los_Angeles
PST8PDT,America/Los_Angeles
America/Tijuana,America/Tijuana
Mexico/BajaNorte,America/Tijuana
America/Ensenada,America/Tijuana
America/Santa_Isabel,America/Tijuana
America/Vancouver,America/Vancouver
Canada/Pacific,America/Vancouver
Pacific/Pitcairn,Pacific/Pitcairn
America/Hermosillo,America/Hermosillo
America/Mazatlan,America/Hermosillo
Mexico/BajaSur,America/Hermosillo
America/Cambridge_Bay,America/Edmonton
America/Edmonton,America/Edmonton
America/Inuvik,America/Edmonton
Canada/Mountain,America/Edmonton
America/Yellowknife,America/Edmonton
America/Ciudad_Juarez,America/Ciudad_Juarez
America/Boise,America/Denver
America/Denver,America/Denver
MST7MDT,America/Denver
Navajo,America/Denver
US/Mountain,America/Denver
America/Shiprock,America/Denver
America/Phoenix,America/Phoenix
MST,America/Phoenix
US/Arizona,America/Phoenix
America/Creston,America/Phoenix
America/Creston,America/Whitehorse
America/Dawson,America/Whitehorse
America/Dawson_Creek,America/Whitehorse
America/Fort_Nelson,America/Whitehorse
America/Whitehorse,America/Whitehorse
Canada/Yukon,America/Whitehorse
America/Belize,America/Belize
America/Chicago,America/Chicago
America/Indiana/Knox,America/Chicago
America/Indiana/Tell_City,America/Chicago
America/Menominee,America/Chicago
America/North_Dakota/Beulah,America/Chicago
America/North_Dakota/Center,America/Chicago
America/North_Dakota/New_Salem,America/Chicago
CST6CDT,America/Chicago
US/Central,America/Chicago
US/Indiana-Starke,America/Chicago
America/Knox_IN,America/Chicago
America/Guatemala,America/Guatemala
America/Managua,America/Managua
America/Bahia_Banderas,America/Mexico_City
America/Chihuahua,America/Mexico_City
America/Merida,America/Mexico_City
America/Mexico_City,America/Mexico_City
America/Monterrey,America/Mexico_City
Mexico/General,America/Mexico_City
America/Matamoros,America/Matamoros
America/Ojinaga,America/Matamoros
America/Costa_Rica,America/Costa_Rica
America/El_Salvador,America/El_Salvador
America/Regina,America/Regina
America/Swift_Current,America/Regina
Canada/Saskatchewan,America/Regina
America/Tegucigalpa,America/Tegucigalpa
America/Rankin_Inlet,America/Winnipeg
America/Resolute,America/Winnipeg
America/Winnipeg,America/Winnipeg
Canada/Central,America/Winnipeg
America/Rainy_River,America/Winnipeg
Pacific/Easter,Pacific/Easter
Chile/EasterIsland,Pacific/Easter
Pacific/Galapagos,Pacific/Galapagos
America/Eirunepe,America/Rio_Branco
America/Rio_Branco,America/Rio_Branco
Brazil/Acre,America/Rio_Branco
America/Porto_Acre,America/Rio_Branco
America/Bogota,America/Bogota
America/Havana,America/Havana
Cuba,America/Havana
America/Atikokan,America/Atikokan
America/Cancun,America/Cancun
America/Cayman,America/Cayman
America/Jamaica,America/Jamaica
Jamaica,America/Jamaica
America/Nassau,America/Nassau
America/Detroit,America/New_York
America/Indiana/Indianapolis,America/New_York
America/Indiana/Marengo,America/New_York
America/Indiana/Petersburg,America/New_York
America/Indiana/Vevay,America/New_York
America/Indiana/Vincennes,America/New_York
America/Indiana/Winamac,America/New_York
America/Kentucky/Louisville,America/New_York
America/Kentucky/Monticello,America/New_York
America/New_York,America/New_York
US/Michigan,America/New_York
US/East-Indiana,America/New_York
America/Indianapolis,America/New_York
America/Fort_Wayne,America/New_York
America/Louisville,America/New_York
EST5EDT,America/New_York
US/Eastern,America/New_York
America/Panama,America/Panama
EST,America/Panama
America/Atikokan,America/Panama
America/Cayman,America/Panama
America/Coral_Harbour,America/Panama
America/Port-au-Prince,America/Port-au-Prince
America/Grand_Turk,America/Grand_Turk
America/Iqaluit,America/Toronto
America/Toronto,America/Toronto
America/Pangnirtung,America/Toronto
Canada/Eastern,America/Toronto
America/Nassau,America/Toronto
America/Montreal,America/Toronto
America/Nipigon,America/Toronto
America/Thunder_Bay,America/Toronto
America/Guayaquil,America/Guayaquil
America/Lima,America/Lima
America/Boa_Vista,America/Manaus
America/Campo_Grande,America/Manaus
America/Cuiaba,America/Manaus
America/Manaus,America/Manaus
America/Porto_Velho,America/Manaus
Brazil/West,America/Manaus
America/St_Kitts,America/St_Kitts
America/Blanc-Sablon,America/Blanc-Sablon
America/Montserrat,America/Montserrat
America/Barbados,America/Barbados
America/Port_of_Spain,America/Port_of_Spain
America/Martinique,America/Martinique
America/St_Lucia,America/St_Lucia
America/St_Barthelemy,America/St_Barthelemy
America/Glace_Bay,America/Halifax
America/Goose_Bay,America/Halifax
America/Halifax,America/Halifax
America/Moncton,America/Halifax
Canada/Atlantic,America/Halifax
Atlantic/Bermuda,Atlantic/Bermuda
America/St_Vincent,America/St_Vincent
America/Kralendijk,America/Kralendijk
America/Guadeloupe,America/Guadeloupe
America/Marigot,America/Marigot
America/Aruba,America/Aruba
America/Lower_Princes,America/Lower_Princes
America/Tortola,America/Tortola
America/Dominica,America/Dominica
America/St_Thomas,America/St_Thomas
America/Grenada,America/Grenada
America/Antigua,America/Antigua
America/Puerto_Rico,America/Puerto_Rico
America/Virgin,America/Puerto_Rico
America/Anguilla,America/Puerto_Rico
America/Antigua,America/Puerto_Rico
America/Aruba,America/Puerto_Rico
America/Blanc-Sablon,America/Puerto_Rico
America/Curacao,America/Puerto_Rico
America/Dominica,America/Puerto_Rico
America/Grenada,America/Puerto_Rico
America/Guadeloupe,America/Puerto_Rico
America/Kralendijk,America/Puerto_Rico
America/Lower_Princes,America/Puerto_Rico
America/Marigot,America/Puerto_Rico
America/Montserrat,America/Puerto_Rico
America/Port_of_Spain,America/Puerto_Rico
America/St_Barthelemy,America/Puerto_Rico
